Symbol,Name
TEL,TE Connectivity Ltd. New Switzerland Registered Shares
TDY,Teledyne Technologies Incorporated Common Stock
TFX,Teleflex Incorporated Common Stock
TXN,Texas Instruments Incorporated Common Stock
TXT,Textron Inc. Common Stock
TMO,Thermo Fisher Scientific Inc Common Stock
TIF,#CALC!
TJX,TJX Companies Inc. (The) Common Stock
TSCO,Tractor Supply Company Common Stock
TT,Trane Technologies plc
TDG,Transdigm Group Incorporated Common Stock
TRV,The Travelers Companies Inc. Common Stock
TFC,Truist Financial Corporation Common Stock
TWTR,#CALC!
TYL,Tyler Technologies Inc. Common Stock
TSN,Tyson Foods Inc. Common Stock
UDR,UDR Inc. Common Stock
ULTA,Ulta Beauty Inc. Common Stock
USB,U.S. Bancorp Common Stock
UAA,Under Armour Inc. Class A Common Stock
UA,Under Armour Inc. Class C Common Stock
UNP,Union Pacific Corporation Common Stock
UAL,United Airlines Holdings Inc. Common Stock
UNH,UnitedHealth Group Incorporated Common Stock (DE)
UPS,United Parcel Service Inc. Common Stock
URI,United Rentals Inc. Common Stock
UHS,Universal Health Services Inc. Common Stock
UNM,Unum Group Common Stock
VFC,V.F. Corporation Common Stock
VLO,Valero Energy Corporation Common Stock
VAR,#CALC!
VTR,Ventas Inc. Common Stock
VRSN,VeriSign Inc. Common Stock
VRSK,Verisk Analytics Inc. Common Stock
VZ,Verizon Communications Inc. Common Stock
VRTX,Vertex Pharmaceuticals Incorporated Common Stock
VIAC,#CALC!
V,Visa Inc.
VNO,Vornado Realty Trust Common Stock
VMC,Vulcan Materials Company (Holding Company) Common Stock
WRB,W.R. Berkley Corporation Common Stock
WAB,Westinghouse Air Brake Technologies Corporation Common Stock
WMT,Walmart Inc. Common Stock
WBA,Walgreens Boots Alliance Inc. Common Stock
WM,Waste Management Inc. Common Stock
WAT,Waters Corporation Common Stock
WEC,WEC Energy Group Inc. Common Stock
WFC,Wells Fargo & Company Common Stock
WELL,Welltower Inc. Common Stock
WST,West Pharmaceutical Services Inc. Common Stock
WDC,Western Digital Corporation Common Stock
WU,Western Union Company (The) Common Stock
WRK,Westrock Company Common Stock
WY,Weyerhaeuser Company Common Stock
WHR,Whirlpool Corporation Common Stock
WMB,Williams Companies Inc. (The) Common Stock
WLTW,#CALC!
WYNN,Wynn Resorts Limited Common stock
XRAY,DENTSPLY SIRONA Inc. Common Stock
XOM,Exxon Mobil Corporation Common Stock
XEL,Xcel Energy Inc. Common Stock
XRX,Xerox Holdings Corporation Common Stock
XLNX,#CALC!
XYL,Xylem Inc. Common Stock New
YUM,Yum! Brands Inc.
ZBRA,Zebra Technologies Corporation Class A Common Stock
ZBH,Zimmer Biomet Holdings Inc. Common Stock
ZION,Zions Bancorporation N.A. Common Stock
